Religion,,A006,F001,F004,F005,F007,F009,F010,F050,F052,F062,F063,B009,E217,E218,E219,I001,A027,A029,A030,A032,A034,A035,A038,A039,A040,A041,A042,A043B,A044,A045,A165,A168,A168A,F022,A170,A173,E040,E041,F051,F053,F054,F064,F198,A025,A026,A046,A047,A048,A049,D018,D019,D022,D023,D024,D059,D060,D061,D081,E290,F114A,F114B,F114C,F114D,F114E,F115,F116,F117,F118,F119,F120,F121,F122,F123,F124,F128,F135A,F028,F028B,F029,F031,F032,F033,F065,F066,F067,F194,E220,E222,F202,A065,A098,E069_51,F102,F103,F104,F105,B017,F003,F051.1,F053.1,F054.1,F057,F060,A124_12,F203,F204,F205,G007_35_B,F025,F025_WVS,Religion
Armenian Apostolic Church,11792,1,1,0,0,0,0,0,1,1,0,10,2,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,4,2,2,0,0,2,8,7,10,10,1,0,1,1,0,1,1,0,0,0,0,1,1,0,0,1,2,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,3,30202001,Armenian Apostolic Church
Armenian Apostolic Church,12914,4,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,3,1,0,0,0,2,3,7,10,5,0,0,0,0,0,1,2,0,0,0,0,1,1,0,0,2,1,2,0,0,0,9,0,0,0,0,9,9,5,2,1,8,5,4,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,30202001,Armenian Apostolic Church
Armenian Apostolic Church,13581,2,1,0,0,0,0,0,1,0,0,5,0,10,10,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,2,0,5,0,10,4,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,0,0,3,1,1,1,0,3,1,1,1,1,2,2,0,0,0,0,1,7,8,0,0,0,0,0,0,0,0,10,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,30202001,Armenian Apostolic Church
Armenian Apostolic Church,13331,1,1,0,0,0,0,0,1,0,0,8,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,3,2,0,0,1,6,6,2,4,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,2,1,2,0,0,0,4,0,0,0,0,4,4,4,1,5,8,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,30202001,Armenian Apostolic Church
Armenian Apostolic Church,13193,3,1,0,0,0,0,0,1,0,0,8,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,3,2,2,0,0,1,2,4,4,5,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,2,2,3,0,0,0,5,0,0,0,0,2,7,1,1,1,1,1,2,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,30202001,Armenian Apostolic Church
Armenian Apostolic Church,12495,2,4,0,0,0,0,0,1,0,0,5,2,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,3,1,2,0,0,1,5,7,5,10,0,0,0,0,0,1,2,0,0,0,0,1,1,0,0,3,2,3,0,0,0,1,0,0,0,0,1,1,1,1,1,5,5,1,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,30202001,Armenian Apostolic Church
Armenian Apostolic Church,233993,1,0,0,0,0,0,0,1,0,0,10,0,8,7,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,2,0,0,0,8,7,6,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,0,1,5,1,2,2,1,0,1,5,1,0,2,1,2,1,0,0,2,2,2,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,3,0,0,4,3,30202001,Armenian Apostolic Church
Armenian Apostolic Church,15471,1,0,0,0,0,0,0,1,0,0,10,0,8,8,0,5,0,0,1,1,0,0,0,1,1,1,0,0,0,0,2,0,0,0,7,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,5,1,1,5,3,10,1,1,5,1,1,6,1,5,3,1,0,0,1,8,3,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,30202001,Armenian Apostolic Church
Armenian Apostolic Church,15055,1,0,0,0,0,0,0,1,0,0,10,0,5,5,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,8,6,5,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,4,5,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,10,4,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,4,3,30202001,Armenian Apostolic Church
Armenian Apostolic Church,12714,2,2,0,0,0,0,0,1,0,0,7,2,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,3,2,0,0,2,5,10,5,10,0,0,0,1,0,1,2,0,0,0,0,1,1,0,0,2,2,2,0,0,0,8,0,0,0,0,1,1,1,2,1,5,5,1,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,30202001,Armenian Apostolic Church
Armenian Apostolic Church,14323,1,1,0,0,0,0,0,1,0,0,8,0,1,10,0,2,0,1,1,1,0,0,0,0,1,0,0,0,0,0,2,0,1,0,4,10,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,1,1,5,1,0,1,1,1,1,1,1,1,1,1,0,0,1,4,3,0,0,0,0,0,0,0,0,8,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,3,3,3,30202001,Armenian Apostolic Church
Armenian Apostolic Church,142166,3,1,0,0,0,0,0,1,1,0,7,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,2,2,0,0,3,2,10,2,3,0,1,1,0,0,1,1,0,0,0,0,1,1,0,2,3,2,1,0,0,0,1,0,0,0,0,1,1,1,1,1,4,2,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,1,0,0,0,0,3,30202001,Armenian Apostolic Church
Armenian Apostolic Church,12333,2,1,0,0,0,0,0,1,1,0,10,2,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,2,1,2,0,0,2,0,5,8,9,0,0,0,1,0,1,3,0,0,0,0,1,1,1,1,3,0,4,0,0,0,1,0,0,0,0,1,1,1,1,1,4,5,10,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,30202001,Armenian Apostolic Church
Armenian Apostolic Church,14303,1,1,0,0,0,0,0,1,0,0,10,0,5,5,0,10,0,1,1,0,0,0,0,1,1,0,0,1,0,0,2,0,1,0,7,10,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,0,0,5,1,1,1,0,1,1,1,1,1,1,1,5,1,0,0,5,3,1,0,0,0,0,0,0,0,0,10,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,1,4,3,30202001,Armenian Apostolic Church
Armenian Apostolic Church,142488,2,1,0,0,0,0,0,1,1,0,5,2,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,3,1,2,0,0,3,6,9,4,8,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,3,1,3,0,0,0,2,0,0,0,0,3,2,2,1,1,5,5,1,1,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,30202001,Armenian Apostolic Church
Armenian Apostolic Church,13585,3,1,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,3,3,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,0,0,8,1,1,1,0,8,3,1,1,1,1,1,0,0,0,0,1,8,8,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,2,3,30202001,Armenian Apostolic Church
Armenian Apostolic Church,12520,2,1,0,0,0,0,0,1,0,0,4,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,2,1,2,0,0,1,2,2,5,5,0,0,0,1,0,1,2,0,0,0,0,1,1,0,2,2,2,2,0,0,0,1,0,0,0,0,1,1,1,1,1,3,4,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,30202001,Armenian Apostolic Church
Armenian Apostolic Church,13149,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,3,1,1,0,0,3,3,3,5,2,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,3,3,3,0,0,0,0,0,0,0,0,1,1,1,1,0,10,1,10,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,30202001,Armenian Apostolic Church
Armenian Apostolic Church,14107,2,1,0,0,0,0,0,1,0,0,10,0,7,8,0,3,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,9,8,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,0,0,1,1,3,1,0,1,1,1,1,1,5,5,1,1,0,0,6,4,2,0,0,0,0,0,0,0,0,7,2,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,2,3,3,30202001,Armenian Apostolic Church
Armenian Apostolic Church,13197,2,1,0,0,0,0,0,1,1,0,8,2,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,3,1,2,0,0,1,7,9,3,8,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,3,0,0,0,2,0,0,0,0,9,8,2,1,2,8,7,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,1,1,0,0,0,0,0,0,0,3,30202001,Armenian Apostolic Church
Armenian Apostolic Church,11674,2,1,0,0,0,0,0,1,1,0,9,2,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,3,1,2,0,0,2,2,2,5,5,0,1,1,0,0,2,2,0,0,0,0,1,1,0,2,2,1,2,0,0,0,3,0,0,0,0,3,3,2,3,1,10,10,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,3,30202001,Armenian Apostolic Church
Armenian Apostolic Church,11427,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,3,1,2,0,0,2,5,8,7,6,1,0,0,0,0,1,2,0,0,0,0,1,1,0,2,3,1,4,0,0,0,10,0,0,0,0,1,1,1,5,2,5,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,30202001,Armenian Apostolic Church
Armenian Apostolic Church,15609,4,0,0,0,0,0,0,1,0,0,8,0,10,10,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,8,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,5,2,1,3,7,6,10,4,6,1,2,6,6,7,10,7,0,0,6,8,8,0,0,0,0,0,0,0,0,10,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,30202001,Armenian Apostolic Church
Armenian Apostolic Church,12700,3,1,0,0,0,0,0,1,1,0,9,2,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,2,2,0,0,2,4,7,6,5,0,0,1,1,0,2,2,0,0,0,0,1,0,1,0,2,2,3,0,0,0,8,0,0,0,0,5,5,4,8,2,9,7,9,5,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,3,30202001,Armenian Apostolic Church
Armenian Apostolic Church,15276,1,0,0,0,0,0,0,1,0,0,10,0,10,10,0,10,1,0,1,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,5,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,5,1,1,1,1,1,1,1,1,1,1,1,5,5,5,1,0,0,1,8,3,0,0,0,0,0,0,0,0,10,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,3,3,30202001,Armenian Apostolic Church
Armenian Apostolic Church,11668,1,1,0,0,0,0,0,1,1,0,1,2,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,2,3,2,0,0,2,6,6,6,8,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,2,2,3,0,0,0,1,0,0,0,0,1,1,6,6,4,6,8,7,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,3,30202001,Armenian Apostolic Church
Armenian Apostolic Church,15227,1,0,0,0,0,0,0,1,0,0,10,0,10,10,0,10,1,1,1,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,7,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,5,10,1,1,1,1,1,1,1,1,1,1,3,1,1,1,0,0,1,6,2,0,0,0,0,0,0,0,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,30202001,Armenian Apostolic Church
Armenian Apostolic Church,15217,1,0,0,0,0,0,0,1,0,0,10,0,10,10,0,10,1,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,5,0,10,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,5,1,1,1,1,1,1,1,1,1,1,1,10,1,1,1,0,0,1,8,8,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,4,3,30202001,Armenian Apostolic Church
Armenian Apostolic Church,11664,2,1,0,0,0,0,0,1,1,0,10,2,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,3,0,2,0,0,1,6,8,7,7,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,2,1,3,0,0,0,3,0,0,0,0,8,3,5,1,1,6,10,10,7,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,3,30202001,Armenian Apostolic Church
Armenian Apostolic Church,14861,1,0,0,0,0,0,0,1,0,0,10,0,5,1,0,10,1,0,1,1,0,1,0,0,1,0,0,0,0,0,2,0,0,0,9,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,5,1,4,1,1,1,1,1,1,1,1,1,9,5,1,1,0,0,8,7,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,3,30202001,Armenian Apostolic Church
Armenian Apostolic Church,12835,1,1,0,0,0,0,0,1,0,0,7,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,3,1,2,0,0,0,3,6,8,3,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,3,4,0,0,0,4,0,0,0,0,6,6,1,1,3,8,8,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,30202001,Armenian Apostolic Church
Armenian Apostolic Church,12677,2,1,0,0,0,0,0,1,0,0,5,2,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,3,1,0,0,1,8,3,7,8,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,2,2,1,0,0,0,2,0,0,0,0,3,2,5,1,1,6,3,2,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,30202001,Armenian Apostolic Church
Armenian Apostolic Church,14071,1,1,0,0,0,0,0,1,0,0,8,0,10,10,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,2,0,5,0,1,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,4,4,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2,4,3,30202001,Armenian Apostolic Church
Armenian Apostolic Church,12430,1,1,0,0,0,0,0,1,1,0,10,2,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,3,4,1,0,0,2,5,0,5,9,1,1,1,1,0,1,1,0,0,0,0,1,1,0,1,2,0,3,0,0,0,2,0,0,0,0,3,2,1,1,1,3,5,7,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,3,30202001,Armenian Apostolic Church
Armenian Apostolic Church,15585,1,0,0,0,0,0,0,1,0,0,10,0,10,10,0,10,0,1,1,1,0,0,0,1,0,1,0,0,0,0,2,0,0,0,5,6,5,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,5,3,10,1,1,1,3,1,8,1,1,1,1,4,2,4,0,0,4,4,3,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,3,0,0,2,3,30202001,Armenian Apostolic Church
Armenian Apostolic Church,12066,1,1,0,0,0,0,0,1,1,0,10,2,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,3,4,1,0,0,2,4,5,3,7,1,1,1,1,0,1,2,0,0,0,0,1,1,0,0,2,1,2,0,0,0,4,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,3,30202001,Armenian Apostolic Church
Armenian Apostolic Church,15476,1,0,0,0,0,0,0,1,0,0,10,0,10,10,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,2,0,0,0,5,10,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,0,0,1,2,1,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,4,3,30202001,Armenian Apostolic Church
Armenian Apostolic Church,14931,1,0,0,0,0,0,0,1,0,0,10,0,10,10,0,6,0,0,0,1,0,1,1,1,0,1,0,0,0,0,2,0,0,0,5,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,0,1,1,1,5,1,1,1,1,1,1,1,1,6,1,1,0,0,3,4,1,0,0,0,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,4,3,30202001,Armenian Apostolic Church
Armenian Apostolic Church,15662,1,0,0,0,0,0,0,1,0,0,10,0,9,3,0,9,0,1,1,0,0,1,0,1,1,0,0,0,0,0,2,0,0,0,9,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,0,1,1,1,1,1,1,1,1,1,1,1,5,5,1,1,0,0,8,3,5,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,3,30202001,Armenian Apostolic Church
Armenian Apostolic Church,13742,2,1,0,0,0,0,0,1,0,0,8,0,5,9,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,2,0,3,0,10,8,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,1,1,1,1,0,1,1,1,1,1,1,3,2,1,0,0,3,2,4,0,0,0,0,0,0,0,0,9,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2,0,3,30202001,Armenian Apostolic Church
Armenian Apostolic Church,11646,3,1,0,0,0,0,0,1,1,0,10,2,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,1,2,2,0,0,1,6,5,7,8,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,2,2,3,0,0,0,5,0,0,0,0,2,7,1,1,1,7,2,1,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,30202001,Armenian Apostolic Church
Armenian Apostolic Church,11832,3,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,1,3,2,0,0,2,1,2,5,10,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3,1,0,0,0,5,0,0,0,0,7,10,8,2,9,10,6,7,5,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,30202001,Armenian Apostolic Church
Armenian Apostolic Church,15620,2,0,0,0,0,0,0,1,0,0,5,0,10,10,0,7,0,0,1,1,0,1,1,0,0,1,0,0,0,0,2,0,0,0,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,4,7,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,30202001,Armenian Apostolic Church
