Religion,,A006,F001,F004,F005,F007,F009,F010,F050,F052,F062,F063,B009,E217,E218,E219,I001,A027,A029,A030,A032,A034,A035,A038,A039,A040,A041,A042,A043B,A044,A045,A165,A168,A168A,F022,A170,A173,E040,E041,F051,F053,F054,F064,F198,A025,A026,A046,A047,A048,A049,D018,D019,D022,D023,D024,D059,D060,D061,D081,E290,F114A,F114B,F114C,F114D,F114E,F115,F116,F117,F118,F119,F120,F121,F122,F123,F124,F128,F135A,F028,F028B,F029,F031,F032,F033,F065,F066,F067,F194,E220,E222,F202,A065,A098,E069_51,F102,F103,F104,F105,B017,F003,F051.1,F053.1,F054.1,F057,F060,A124_12,F203,F204,F205,G007_35_B,F025,F025_WVS,Religion
Adventist movement (Sunday observing),111869,2,0,0,0,0,0,0,1,0,0,10,0,3,5,0,9,1,1,0,0,0,1,0,0,0,1,1,0,0,0,2,0,0,0,7,10,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,4,1,3,1,1,4,1,1,1,1,4,4,1,4,1,1,0,0,4,2,3,0,0,0,0,0,0,0,0,8,0,3,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,3,0,0,2,2,20804000,Adventist movement (Sunday observing)
Adventist movement (Sunday observing),305202,2,1,0,0,0,0,0,1,0,0,10,0,2,2,0,10,0,1,0,1,0,1,0,0,1,0,1,0,0,0,2,0,2,0,8,10,10,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,1,1,1,1,0,1,1,1,1,1,1,2,1,1,0,0,3,1,1,0,0,0,0,0,0,0,0,10,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,3,2,2,4,2,20804000,Adventist movement (Sunday observing)
Adventist movement (Sunday observing),306342,1,0,0,0,0,0,0,1,0,0,10,0,9,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,2,0,0,0,9,9,7,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,4,2,20804000,Adventist movement (Sunday observing)
Adventist movement (Sunday observing),306328,2,0,0,0,0,0,0,1,0,0,10,0,7,7,0,9,1,0,0,0,0,1,0,0,1,0,1,0,0,0,2,0,0,0,6,7,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,4,2,8,1,2,2,2,2,1,2,1,1,1,2,1,1,0,0,2,2,2,0,0,0,0,0,0,0,0,8,0,2,1,2,0,0,0,0,0,0,0,1,1,1,0,0,0,3,0,0,2,2,20804000,Adventist movement (Sunday observing)
Adventist movement (Sunday observing),305157,1,3,0,0,0,0,0,1,0,0,8,0,6,7,0,5,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,5,0,6,6,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,0,6,1,2,0,0,7,1,1,3,2,1,3,1,1,0,0,1,3,4,0,0,0,0,0,0,0,0,5,3,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,2,20804000,Adventist movement (Sunday observing)
Adventist movement (Sunday observing),305647,1,0,0,0,0,0,0,1,0,0,10,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,2,0,0,0,5,5,5,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,1,5,10,1,1,1,5,1,1,1,1,5,1,1,5,5,0,0,5,2,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,3,0,0,3,2,20804000,Adventist movement (Sunday observing)
Adventist movement (Sunday observing),91469,1,0,0,0,0,0,0,1,0,0,10,0,5,10,0,5,1,1,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,7,5,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,4,1,10,1,1,1,1,9,2,1,1,1,1,8,1,1,0,0,8,1,1,0,0,0,0,0,0,0,0,1,0,1,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,3,2,20804000,Adventist movement (Sunday observing)
Adventist movement (Sunday observing),304577,1,3,0,0,0,0,0,1,0,0,10,0,8,5,0,9,0,1,0,0,0,1,0,0,1,0,1,1,0,0,2,0,2,0,5,10,1,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,0,0,7,2,3,2,0,4,2,2,3,2,2,5,3,3,0,0,7,2,1,0,0,0,0,0,0,0,0,4,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,3,2,1,4,2,20804000,Adventist movement (Sunday observing)
Adventist movement (Sunday observing),91545,1,0,0,0,0,0,0,1,0,0,10,0,10,10,0,10,1,0,0,1,0,1,0,0,1,0,1,0,0,0,2,0,0,0,9,7,8,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,1,8,1,7,1,1,10,1,1,1,1,1,1,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,10,0,3,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,0,0,3,2,20804000,Adventist movement (Sunday observing)
Adventist movement (Sunday observing),306168,1,0,0,0,0,0,0,1,0,0,10,0,10,8,0,6,1,0,1,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,7,7,8,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,2,1,2,1,1,2,1,2,1,1,1,1,1,5,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,9,0,2,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,4,2,20804000,Adventist movement (Sunday observing)
Adventist movement (Sunday observing),305248,1,1,0,0,0,0,0,1,0,0,10,0,10,10,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,5,0,10,8,10,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,3,0,0,0,0,0,0,0,0,10,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,4,4,4,2,20804000,Adventist movement (Sunday observing)
Adventist movement (Sunday observing),305215,1,3,0,0,0,0,0,1,0,0,10,0,10,10,0,10,0,0,1,1,1,1,0,0,0,0,0,1,0,0,2,0,8,0,10,5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,0,10,1,1,1,0,1,1,1,5,1,1,5,0,1,0,0,5,3,2,0,0,0,0,0,0,0,0,10,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,2,2,2,20804000,Adventist movement (Sunday observing)
Adventist movement (Sunday observing),304915,1,1,0,0,0,0,0,1,0,0,10,0,8,6,0,7,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,8,0,5,7,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,8,1,1,1,0,3,1,1,1,1,1,1,1,1,0,0,4,2,1,0,0,0,0,0,0,0,0,8,3,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,3,4,2,20804000,Adventist movement (Sunday observing)
Adventist movement (Sunday observing),306198,1,0,0,0,0,0,0,1,0,0,10,0,5,7,0,6,1,0,1,0,0,0,1,0,1,0,1,0,0,0,2,0,0,0,7,6,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,4,0,0,1,5,1,0,1,1,1,6,1,6,6,0,1,0,0,8,2,2,0,0,0,0,0,0,0,0,6,0,2,1,2,0,0,0,0,0,0,0,1,1,1,0,0,0,3,0,0,3,2,20804000,Adventist movement (Sunday observing)
Adventist movement (Sunday observing),111856,2,0,0,0,0,0,0,1,0,0,10,0,1,8,0,10,1,1,0,1,0,1,0,0,0,0,1,0,0,0,2,0,0,0,8,7,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2,4,1,1,1,8,1,1,1,1,1,1,1,8,8,10,1,0,0,8,3,2,0,0,0,0,0,0,0,0,10,0,3,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,3,0,0,2,2,20804000,Adventist movement (Sunday observing)
Adventist movement (Sunday observing),304892,1,1,0,0,0,0,0,1,0,0,10,0,8,8,0,3,0,0,0,1,0,1,0,1,1,1,0,0,0,0,2,0,10,0,5,3,9,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,2,1,1,1,0,2,2,2,2,2,1,2,1,1,0,0,1,6,8,0,0,0,0,0,0,0,0,8,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,2,3,2,20804000,Adventist movement (Sunday observing)
Adventist movement (Sunday observing),304401,1,2,0,0,0,0,0,1,0,0,5,0,5,5,0,5,0,1,0,1,0,1,0,1,0,1,0,0,0,0,2,0,5,0,10,5,4,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,1,1,1,1,0,1,1,1,1,1,1,5,1,1,0,0,5,3,4,0,0,0,0,0,0,0,0,4,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,2,2,3,2,20804000,Adventist movement (Sunday observing)
Adventist movement (Sunday observing),306631,1,0,0,0,0,0,0,1,0,0,10,0,10,10,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,2,0,0,0,9,9,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,3,1,8,1,1,1,2,9,1,1,10,6,8,9,10,2,0,0,10,2,3,0,0,0,0,0,0,0,0,5,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,3,0,0,3,2,20804000,Adventist movement (Sunday observing)
African traditional religions Ethnic,50871,1,0,0,0,0,0,0,1,0,0,10,0,8,9,0,7,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,8,10,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,2,1,1,1,5,1,1,1,4,1,10,1,1,10,1,1,0,0,10,2,2,0,0,0,0,0,0,0,0,2,0,3,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0,2,9,90300000,African traditional religions Ethnic
African traditional religions Ethnic,437763,0,1,0,0,0,0,0,1,0,0,10,0,5,3,0,2,0,1,0,1,0,1,0,1,1,0,0,0,0,0,2,0,1,0,6,9,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0,0,4,5,1,1,0,3,2,1,3,1,2,5,2,3,0,0,3,2,1,0,0,0,0,0,0,0,0,5,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3,4,3,9,90300000,African traditional religions Ethnic
